iter	Passed	Remaining
551	10651	8644
552	10663	8619
553	10678	8597
554	10699	8578
555	10718	8559
556	10731	8534
557	10746	8512
558	10767	8494
559	10781	8471
560	10795	8447
561	10810	8425
562	10832	8408
563	10847	8385
564	10869	8368
565	10897	8356
566	10921	8340
567	10946	8325
568	10972	8311
569	10994	8294
570	11013	8274
571	11041	8262
572	11065	8245
573	11090	8230
574	11105	8208
575	11119	8185
576	11133	8161
577	11151	8141
578	11167	8120
579	11182	8097
580	11194	8073
581	11208	8050
582	11230	8033
583	11245	8010
584	11255	7984
585	11268	7961
586	11291	7944
587	11306	7921
588	11319	7898
589	11335	7877
590	11358	7860
591	11376	7840
592	11395	7821
593	11414	7801
594	11432	7782
595	11445	7758
596	11457	7734
597	11476	7715
598	11496	7696
599	11509	7673
600	11523	7650
601	11542	7631
602	11563	7613
603	11576	7590
604	11590	7567
605	11604	7545
606	11625	7527
607	11639	7504
608	11653	7481
609	11667	7459
610	11687	7440
611	11701	7418
612	11716	7396
613	11731	7375
614	11755	7359
615	11769	7336
616	11782	7314
617	11797	7292
618	11818	7274
619	11833	7252
620	11846	7230
621	11860	7208
622	11882	7190
623	11895	7167
624	11908	7145
625	11921	7122
626	11940	7103
627	11958	7083
628	11973	7062
629	11985	7039
630	11999	7017
631	12020	6999
632	12034	6977
633	12047	6954
634	12062	6933
635	12083	6915
636	12097	6893
637	12110	6871
638	12126	6851
639	12148	6833
640	12167	6814
641	12183	6794
642	12205	6776
643	12224	6757
644	12238	6736
645	12257	6716
646	12282	6701
647	12298	6680
648	12314	6659
649	12334	6641
650	12354	6623
651	12373	6604
652	12392	6585
653	12414	6567
654	12431	6547
655	12451	6529
656	12477	6513
657	12492	6493
658	12509	6472
659	12529	6454
660	12548	6435
661	12563	6414
662	12579	6394
663	12605	6378
664	12619	6357
665	12634	6336
666	12650	6315
667	12673	6298
668	12689	6278
669	12703	6256
670	12720	6236
671	12741	6218
672	12758	6199
673	12773	6178
674	12798	6162
675	12819	6144
676	12835	6123
677	12854	6104
678	12875	6086
679	12892	6067
680	12907	6046
681	12928	6028
682	12945	6008
683	12959	5987
684	12975	5967
685	12996	5948
686	13014	5929
687	13030	5908
688	13046	5888
689	13077	5875
690	13096	5856
691	13112	5836
692	13133	5818
693	13162	5803
694	13178	5783
695	13204	5767
696	13221	5747
697	13239	5728
698	13263	5711
699	13278	5690
700	13291	5669
701	13306	5648
702	13328	5630
703	13348	5612
704	13368	5593
705	13388	5575
706	13404	5555
707	13417	5533
708	13435	5514
709	13455	5495
710	13470	5475
711	13483	5454
712	13496	5432
713	13512	5412
714	13530	5393
715	13545	5372
716	13557	5351
717	13572	5330
718	13593	5312
719	13609	5292
720	13621	5271
721	13640	5252
722	13661	5234
723	13675	5213
724	13688	5192
725	13703	5171
726	13723	5153
727	13738	5133
728	13752	5112
729	13767	5091
730	13787	5073
731	13810	5056
732	13820	5034
733	13837	5014
734	13860	4997
735	13872	4975
736	13885	4955
737	13900	4934
738	13921	4916
739	13934	4896
740	13946	4874
741	13961	4854
742	13981	4836
743	13996	4816
744	14009	4795
745	14022	4774
746	14039	4755
747	14056	4735
748	14073	4716
749	14087	4695
750	14102	4675
751	14121	4657
752	14134	4636
753	14148	4616
754	14162	4595
755	14184	4577
756	14197	4557
757	14210	4536
758	14225	4516
759	14246	4498
760	14260	4478
761	14277	4459
762	14292	4439
763	14315	4422
764	14332	4402
765	14346	4382
766	14363	4363
767	14384	4345
768	14399	4325
769	14415	4306
770	14438	4288
771	14457	4269
772	14472	4250
773	14496	4232
774	14518	4215
775	14536	4196
776	14554	4177
777	14578	4159
778	14594	4140
779	14612	4121
780	14633	4103
781	14653	4085
782	14669	4065
783	14686	4046
784	14713	4029
785	14729	4010
786	14747	3991
787	14771	3973
788	14788	3954
789	14803	3935
790	14820	3915
791	14843	3898
792	14859	3878
793	14875	3859
794	14894	3840
795	14913	3822
796	14931	3803
797	14948	3783
798	14972	3766
799	14988	3747
800	15004	3727
801	15026	3709
802	15045	3691
803	15061	3671
804	15077	3652
805	15101	3634
806	15122	3616
807	15137	3596
808	15154	3577
809	15172	3558
810	15186	3539
811	15201	3519
812	15218	3500
813	15235	3481
814	15250	3461
815	15262	3441
816	15278	3422
817	15299	3404
818	15316	3384
819	15338	3367
820	15363	3349
821	15382	3331
822	15398	3311
823	15421	3294
824	15440	3275
825	15454	3255
826	15479	3238
827	15498	3219
828	15516	3200
829	15535	3181
830	15561	3164
831	15578	3145
832	15597	3127
833	15618	3108
834	15636	3089
835	15650	3070
836	15666	3050
837	15688	3032
838	15702	3013
839	15714	2993
840	15730	2974
841	15751	2955
842	15775	2937
843	15788	2918
844	15805	2899
845	15828	2881
846	15846	2862
847	15864	2843
848	15887	2825
849	15903	2806
850	15918	2787
851	15936	2768
852	15960	2750
853	15980	2731
854	15997	2713
855	16018	2694
856	16036	2675
857	16050	2656
858	16069	2637
859	16088	2619
860	16103	2599
861	16118	2580
862	16141	2562
863	16159	2543
864	16174	2524
865	16199	2506
866	16224	2488
867	16242	2470
868	16261	2451
869	16284	2433
870	16301	2414
871	16317	2395
872	16339	2376
873	16357	2358
874	16373	2339
875	16391	2320
876	16418	2302
877	16435	2283
878	16454	2265
879	16478	2247
880	16494	2227
881	16513	2209
882	16538	2191
883	16557	2172
884	16572	2153
885	16591	2134
886	16613	2116
887	16633	2097
888	16650	2079
889	16672	2060
890	16690	2041
891	16706	2022
892	16724	2003
893	16742	1985
894	16759	1966
895	16773	1946
896	16791	1928
897	16813	1909
898	16826	1890
899	16848	1872
900	16876	1854
901	16893	1835
902	16908	1816
903	16932	1798
904	16952	1779
905	16971	1760
906	16988	1741
907	17010	1723
908	17032	1705
909	17059	1687
910	17082	1668
911	17101	1650
912	17127	1632
913	17149	1613
914	17168	1594
915	17197	1577
916	17213	1558
917	17230	1539
918	17256	1520
919	17281	1502
920	17298	1483
921	17321	1465
922	17346	1447
923	17366	1428
924	17390	1410
925	17405	1390
926	17419	1371
927	17436	1352
928	17458	1334
929	17476	1315
930	17500	1297
931	17518	1278
932	17540	1259
933	17555	1240
934	17571	1221
935	17594	1203
936	17609	1184
937	17631	1165
938	17660	1147
939	17681	1128
940	17700	1109
941	17728	1091
942	17747	1072
943	17766	1053
944	17792	1035
945	17809	1016
946	17825	997
947	17852	979
948	17867	960
949	17882	941
950	17896	922
951	17925	903
952	17941	884
953	17958	865
954	17982	847
955	17999	828
956	18026	809
957	18065	792
958	18096	773
959	18129	755
960	18151	736
961	18176	717
962	18192	698
963	18207	679
964	18222	660
965	18245	642
966	18262	623
967	18278	604
968	18297	585
969	18317	566
970	18334	547
971	18354	528
972	18380	510
973	18397	491
974	18413	472
975	18435	453
976	18450	434
977	18466	415
978	18482	396
979	18504	377
980	18523	358
981	18542	339
982	18568	321
983	18584	302
984	18599	283
985	18616	264
986	18638	245
987	18656	226
988	18672	207
989	18695	188
990	18713	169
991	18729	151
992	18748	132
993	18772	113
994	18789	94
995	18806	75
996	18828	56
997	18845	37
998	18859	18
999	18875	0
